id,field,before,after
97,q,"Ai là người khẳng định ""cái sự hiển nhiên là trước hết con người cần phải ăn, uống, ở và mặ động, trước khi có thể đấu tranh để giành quyền thống trị, trước khi có thể hoạt động chính tr học..."".","Ai là người khẳng định ""cái sự hiển nhiên là trước hết con người cần phải ăn, uống, ở và mặc, trước khi có thể đấu tranh để giành quyền thống trị, trước khi có thể hoạt động chính trị, khoa học...""."
97,option_0,C.Mác,C. Mác
97,option_1,Ph.Ăngghen,Ph. Ăngghen
98,q,Quan điểm của chủ nghĩa Mác-Lênin về lãnh tụ là,Quan điểm của chủ nghĩa Mác - Lênin về lãnh tụ là
108,q,Triết học Mác-Lênin ra đời một phần là kết quả kế thừa trực tiếp từ,Triết học Mác - Lênin ra đời một phần là kết quả kế thừa trực tiếp từ
108,option_0,Thế giới quan duy vật của Hêghen và phép biện chứng của Phoiobắc,Thế giới quan duy vật của Hêghen và phép biện chứng của Phoiơbắc
108,option_2,Thế giới quan duy vật và phép biện chúng của cả Hêghen và Phoiơbắc,Thế giới quan duy vật và phép biện chứng của cả Hêghen và Phoiơbắc
108,option_3,Chủ nghĩa duy tâm của Hồn bách và biện chứng pháp của Aristốt,Chủ nghĩa duy tâm của Phoiơbắc và biện chứng pháp của Aristốt
109,q,"Điền cụm từ thích hợp vào chỗ (..): ""Không thể đem lại cho hai khái niệm... này một định nghĩa cách chỉ rõ rằng trong hai khái niệm đó, cãi nào được coi là có trước"".","Điền cụm từ thích hợp vào chỗ (..): ""Không thể đem lại cho hai khái niệm... này một định nghĩa cách chỉ rõ rằng trong hai khái niệm đó, cái nào được coi là có trước""."
111,q,"Thales, Heraclitus, Anaximenes là những đại biểu thuộc trường phải nào?","Thales, Heraclitus, Anaximenes là những đại biểu thuộc trường phái nào?"
124,q,Chủ nghĩa Mác-Lênin ra đời dựa trên bao nhiêu tiền đề?,Chủ nghĩa Mác - Lênin ra đời dựa trên bao nhiêu tiền đề?
133,q,"Theo quan điểm của chủ nghĩa Mác-Lênin, khái niệm nào dùng để chỉ lực lượng sản xuất cơ bản của xã hội, trực tiếp sản xuất ra của cải vật chất, là cơ sở của sự tồn tại và phát triển của xã hội. Là động lực cơ bản của mọi cuộc cách mạng xã hội và là người sáng tạo ra những giá trị văn hóa tinh thần cho xã hội?","Theo quan điểm của chủ nghĩa Mác - Lênin, khái niệm nào dùng để chỉ lực lượng sản xuất cơ bản của xã hội, trực tiếp sản xuất ra của cải vật chất, là cơ sở của sự tồn tại và phát triển của xã hội. Là động lực cơ bản của mọi cuộc cách mạng xã hội và là người sáng tạo ra những giá trị văn hóa tinh thần cho xã hội?"
134,option_2,V.ILênin,V.I. Lênin
154,q,Quan điểm tiến bộ và cách mạng nhất của chủ nghĩa Mác-Lênin về vấn đề con người là:,Quan điểm tiến bộ và cách mạng nhất của chủ nghĩa Mác - Lênin về vấn đề con người là:
156,option_2,Chỉ có mỗi quan hệ giữa lượng với chất,Chỉ có mối quan hệ giữa lượng với chất
160,q,"Điền vào dấu (...): ""Quan điểm nhất quán từ xưa đến nay của các nhà triết học duy vật là thừa nhận sự tồn tại.... lấy bản thân giới tự nhiên để giải thích tự nhiên"".","Điền vào dấu (...): ""Quan điểm nhất quán từ xưa Đến nay của các nhà triết học duy vật là thừa nhận sự tồn tại.... lấy bản thân giới tự nhiên để giải thích tự nhiên""."
161,q,Chủ nghĩa Mác-Lênin gồm ba bộ phận cấu thành đó là,Chủ nghĩa Mác - Lênin gồm ba bộ phận cấu thành đó là
176,q,"Theo C.Mác, con người muốn sống thì trước hết cần có thức ăn, đồ mặc v.v. Như vậy, hành vi lịch sử đầu tiên là sản xuất ra:","Theo C. Mác, con người muốn sống thì trước hết cần có thức ăn, đồ mặc v.v. Như vậy, hành vi lịch sử đầu tiên là sản xuất ra:"
181,q,"Theo quan điểm của triết học Mác-Lênin, tiêu chí cơ bản để đánh giá phẩm chất của mỗi cá nhân","Theo quan điểm của triết học Mác - Lênin, tiêu chí cơ bản để đánh giá phẩm chất của mỗi cá nhân"
185,q,Định nghĩa của V.I.Lênin về giai cấp là những tập đoàn người to lớn có sự phân biệt về:,Định nghĩa của V.I. Lênin về giai cấp là những tập đoàn người to lớn có sự phân biệt về:
221,option_0,Ph.Ăng ghen,Ph. Ăngghen
227,q,Chọn câu trả lời đúng theo quan điểm duy vật lịch sử: Nhân tố quyết định trong lực lượng sản xuât là nhân tố:,Chọn câu trả lời đúng theo quan điểm duy vật lịch sử: Nhân tố quyết định trong lực lượng sản xuất là nhân tố:
241,option_0,Chủ nghĩa Mác là học thuyết do C.Mác sáng lập.,Chủ nghĩa Mác là học thuyết do C. Mác sáng lập.
242,q,Phát kiến vĩ đại nhất của Các Mác trên lĩnh vực nghiên cứu triết học và kinh tế chính trị là:,Phát kiến vĩ đại nhất của C. Mác trên lĩnh vực nghiên cứu triết học và kinh tế chính trị là:
257,q,Theo C.Mác con người phải chứng minh chân lý trong:,Theo C. Mác con người phải chứng minh chân lý trong:
259,q,"Theo quan điểm của triết học Mác-Lênin, tiêu chuẩn của chân lý là gì?","Theo quan điểm của triết học Mác - Lênin, tiêu chuẩn của chân lý là gì?"
262,q,"V.I.Lênin cho rằng: nhận thức đi từ...đến..., từ bản chất ít sâu sắc đến bản chất sâu sắc hơn.","V.I. Lênin cho rằng: nhận thức đi từ...đến..., từ bản chất ít sâu sắc đến bản chất sâu sắc hơn."
273,option_2,Chống quan chủ nghĩa triết chung và thuyết ngụy biện.,Chống chủ nghĩa chiết trung và thuyết ngụy biện.
276,q,Tại sao C.Mác nói phép biện chứng của G.W.Ph.Hêghen là phép biện chứng lộn đầu xuống đất?,Tại sao C. Mác nói phép biện chứng của G.W.Ph.Hêghen là phép biện chứng lộn đầu xuống đất?
298,option_2,Sản xuất giá trị thặng dư tuyệt đối và siêu nghạch,Sản xuất giá trị thặng dư tuyệt đối và siêu ngạch
307,q,Loại tái sản xuất nào làm tăng sản phẩm chủ yếu do tăng năng suất lao động và hiệu quả sử dụng các nguồn luc?,Loại tái sản xuất nào làm tăng sản phẩm chủ yếu do tăng năng suất lao động và hiệu quả sử dụng các nguồn lực?
309,q,Ph.Ăngghen cho rằng: đối với ai phủ nhận..thì mọi quy luật tự nhiên đều là giả thuyết.,Ph. Ăngghen cho rằng: đối với ai phủ nhận..thì mọi quy luật tự nhiên đều là giả thuyết.
310,q,"Khi nghiên cứu phương thức sản xuất TBCN, C.Mác bắt đầu từ","Khi nghiên cứu phương thức sản xuất TBCN, C. Mác bắt đầu từ"
321,option_1,Tồn tại xã hội là phạm trù dùng chi toàn bộ các giá trị tinh thần của xã hội,Tồn tại xã hội là phạm trù dùng chỉ toàn bộ các giá trị tinh thần của xã hội
330,q,"Theo quan điểm Mác-Lênin, chủ nghĩa cộng sản chia làm mấy giai đoạn","Theo quan điểm Mác - Lênin, chủ nghĩa cộng sản chia làm mấy giai đoạn"
352,q,Tác phẩm nào được xem là đánh dấu cho sự chín muồi về tư tưởng xã hội chủ nghĩa của C.Mác và Ăng-ghen,Tác phẩm nào được xem là đánh dấu cho sự chín muồi về tư tưởng xã hội chủ nghĩa của C. Mác và Ăng-ghen
357,option_2,Hê ghen,Hêghen
359,q,"Theo quan điểm của Triết học Mác-Lênin, có thể định nghĩa về vật chất như sau:","Theo quan điểm của Triết học Mác - Lênin, có thể định nghĩa về vật chất như sau:"
362,q,Nền tảng lý luận của chủ nghĩa Mác-Lênin là,Nền tảng lý luận của chủ nghĩa Mác - Lênin là
367,q,Chủ nghĩa Mác-Lênin ra đời vào khoảng thời gian nào,Chủ nghĩa Mác - Lênin ra đời vào khoảng thời gian nào
372,q,Chọn phương án phản ánh quan điểm Mác-Lênin,Chọn phương án phản ánh quan điểm Mác - Lênin
381,q,"Theo triết học Mác-Lênin, khẳng định nào sau đây là đúng?","Theo triết học Mác - Lênin, khẳng định nào sau đây là đúng?"
390,q,"Từ định nghĩa con người của Ph.Ăngghen, đặc điểm nào sau đây cho thấy con người khác với động vật?","Từ định nghĩa con người của Ph. Ăngghen, đặc điểm nào sau đây cho thấy con người khác với động vật?"
397,q,"Trong hoạt động nhận thức, cần nhìn nhận sự vật trong trạng thái vận động và phát triển. Điều đó dựa trên các sở lý luận của nguyên lý nào?","Trong hoạt động nhận thức, cần nhìn nhận sự vật trong trạng thái vận động và phát triển. Điều đó dựa trên cơ sở lý luận của nguyên lý nào?"
449,option_0,Quy luật về mỗi quan hệ biện chững giữa cơ sở hạ tầng và kiến trúc thượng tầng,Quy luật về mối quan hệ biện chứng giữa cơ sở hạ tầng và kiến trúc thượng tầng
449,option_2,Quy luật tôn tại xã hội quyết định ý thức xã hội,Quy luật tồn tại xã hội quyết định ý thức xã hội
454,q,"Trước khi chủ nghĩa duy vật biện chững ra đời, nhìn chung các nhà triết học duy vật quan niệm vật chất là gì?","Trước khi chủ nghĩa duy vật biện chứng ra đời, nhìn chung các nhà triết học duy vật quan niệm vật chất là gì?"
456,option_0,"Phải đặc biệt nhãn mạnh một mặt nào đó, bỏ qua những mặt còn lại","Phải đặc biệt nhấn mạnh một mặt nào đó, bỏ qua những mặt còn lại"
456,option_1,"Phải đặt họ vào những điều kiện, thời đại của minh mà đánh giá","Phải đặt họ vào những điều kiện, thời đại của mình mà đánh giá"
456,option_2,"Phải đặt họ trong những mỗi quan hệ với những người khác, với những việc khác có thế ảnh hưởng đến sự phát triển của họ mà đánh giá","Phải đặt họ trong những mối quan hệ với những người khác, với những việc khác có thể ảnh hưởng đến sự phát triển của họ mà đánh giá"
459,q,"Hiện tượng, quá trình khác nhau đều có những mỗi liên hệ cụ thể khác nhau, là biểu hiện của tính chất nào trong mỗi liên hệ?","Hiện tượng, quá trình khác nhau đều có những mối liên hệ cụ thể khác nhau, là biểu hiện của tính chất nào trong mối liên hệ?"
459,option_2,Phố biến,Phổ biến
462,q,Đâu là hình thức thế giới quan tôn tại trước thế giới quan triết học?,Đâu là hình thức thế giới quan tồn tại trước thế giới quan triết học?
465,q,Đâu là tác phẩm của Ph. Ángghen?,Đâu là tác phẩm của Ph. Ăngghen?
465,option_3,"""Tự nhiên của biện chúng""","""Tự nhiên của biện chứng"""
470,q,Triết học do C.Mác và Ph.Ang-ghen thực hiện là bước ngoặt cách mạng trong sự phát triển của triết học. Biểu hiện vĩ đại nhất của bước ngoặt cách mạng đó là:,Triết học do C. Mác và Ph. Ăngghen thực hiện là bước ngoặt cách mạng trong sự phát triển của triết học. Biểu hiện vĩ đại nhất của bước ngoặt cách mạng đó là:
470,option_0,"Thay đổi căn bản tính chất của triết học, thay đổi căn bản đối tượng của nó và mỗi quan hệ đối với các khoa học khác","Thay đổi căn bản tính chất của triết học, thay đổi căn bản đối tượng của nó và mối quan hệ đối với các khoa học khác"
475,q,"Chủ nghĩa duy tâm có nguồn gốc nhận thức và nguồn gốc xã hội là trong quá trình nhân thức nó xem xét phiến diện, tuyệt đổi hóá, thần thánh hóa cái gì của quá trình nhận thức?","Chủ nghĩa duy tâm có nguồn gốc nhận thức và nguồn gốc xã hội là trong quá trình nhận thức nó xem xét phiến diện, tuyệt đối hóa, thần thánh hóa cái gì của quá trình nhận thức?"
487,q,"Mối liên hệ thống nhất và đầu tranh, chuyển hoá giữa các mặt đối lập của mỗi sự vật, hiện tượng hoặc giữa các sự vật, hiện tượng với nhau gọi là khái niệm gì? A Chuyển hoá chất, lượng","Mối liên hệ thống nhất và đấu tranh, chuyển hoá giữa các mặt đối lập của mỗi sự vật, hiện tượng hoặc giữa các sự vật, hiện tượng với nhau gọi là khái niệm gì? A Chuyển hoá chất, lượng"
488,option_0,Ph.Ăngghen,Ph. Ăngghen
488,option_1,L.Phoiobác,L. Phoiơbắc
519,q,Đâu không phải là quan điểm của Chủ nghĩa Mác-Lênin về lãnh tụ?,Đâu không phải là quan điểm của Chủ nghĩa Mác - Lênin về lãnh tụ?
524,q,Theo chủ nghĩa duy vật lịch sử thì những biến đổi từ đầu tạo ra nhu cầu khách quan phải có sự biến đổi tượng ứng trong kiến trúc thượng tầng?,Theo chủ nghĩa duy vật lịch sử thì những biến đổi từ đầu tạo ra nhu cầu khách quan phải có sự biến đổi tương ứng trong kiến trúc thượng tầng?
527,q,"Trong quan điểm của phép biện chững duy vật thì với hình thức, nội dung giữ vai trò:","Trong quan điểm của phép biện chứng duy vật thì với hình thức, nội dung giữ vai trò:"
528,q,"Theo quan điểm của chủ nghĩa duy vật thì bất kỳ một sự vật, hiện tượng nào, ở bất kỳ không gian nào và ở bất kỳ thời gian nào cũng có mỗi liên hệ với những sự vật, hiện tượng khác là biểu hiện tính chất nào của mỗi liên hệ?","Theo quan điểm của chủ nghĩa duy vật thì bất kỳ một sự vật, hiện tượng nào, ở bất kỳ không gian nào và ở bất kỳ thời gian nào cũng có mối liên hệ với những sự vật, hiện tượng khác là biểu hiện tính chất nào của mối liên hệ?"
529,option_3,C.Mác,C. Mác
534,q,Theo quan điểm của phép biện chứng duy vật thì những thay đối về chất của sự vật lại tạo ra những thay đổi gì của sự vật trên các phương diện khác nhau?,Theo quan điểm của phép biện chứng duy vật thì những thay đổi về chất của sự vật lại tạo ra những thay đổi gì của sự vật trên các phương diện khác nhau?
535,q,"Theo quan điểm của chủ nghĩa Mác-Lênin, Kiến trúc thượng tầng là gì?","Theo quan điểm của chủ nghĩa Mác - Lênin, Kiến trúc thượng tầng là gì?"
536,q,Cơ sở để phần chia triết học thành các trường phái khác nhau là:,Cơ sở để phân chia triết học thành các trường phái khác nhau là:
537,q,"Thuộc tính cơ bàn nhất, phố biến nhất của mọi tồn tại vật chất được khái quát trong phạm trù vật chất của chủ nghĩa duy vật biện chứng là:","Thuộc tính cơ bản nhất, phổ biến nhất của mọi tồn tại vật chất được khái quát trong phạm trù vật chất của chủ nghĩa duy vật biện chứng là:"
543,q,"Theo quan điểm của chủ nghĩa duy vật lịch sử, để giải thích đúng và triệt để các hiện tượng trong đời sống xã hội, cần phải xuất phát trừ:","Theo quan điểm của chủ nghĩa duy vật lịch sử, để giải thích đúng và triệt để các hiện tượng trong đời sống xã hội, cần phải xuất phát từ:"
543,option_3,Ý trí của mọi thành viên trong cộng đồng xã hội,Ý chí của mọi thành viên trong cộng đồng xã hội
545,q,"Luận điểm sau đây thuộc quan điểm triết học nào: ""Phát triển là quá trình chuyễn hóa từ những thay đối về lượng thành sự thay đối về chất và ngược lại""?","Luận điểm sau đây thuộc quan điểm triết học nào: ""Phát triển là quá trình chuyển hóa từ những thay đổi về lượng thành sự thay đổi về chất và ngược lại""?"
546,option_3,Trình độ phát triễn của nên sản xuất xã hội,Trình độ phát triển của nên sản xuất xã hội
549,q,"Theo chủ nghĩa duy vật biện chúng, vận động không chỉ là sự thay đổi vị trí trong không gian, mà còn là mọi sự thay đối và:","Theo chủ nghĩa duy vật biện chứng, vận động không chỉ là sự thay đổi vị trí trong không gian, mà còn là mọi sự thay đổi và:"
549,option_1,Mọi quá trinh diễn ra trong vũ trụ,Mọi quá trình diễn ra trong vũ trụ
556,option_3,"Một giá trị xã hội phản ánh các quyền cơ bản của con người; là một hình thức tổ chức nhà nước của giai cấp vô sản cầm quyền; có quá trình ra đời, phát triễn cùng với lịch sử xã hội nhân loại","Một giá trị xã hội phản ánh các quyền cơ bản của con người; là một hình thức tổ chức nhà nước của giai cấp vô sản cầm quyền; có quá trình ra đời, phát triển cùng với lịch sử xã hội nhân loại"
561,option_0,C.Mác,C. Mác
561,option_1,Ph.Ăngghen,Ph. Ăngghen
561,option_2,L.Phoiơbắc,L. Phoiơbắc
561,option_3,Immanuel Kant|,Immanuel Kant
563,option_0,chuyễn hóa lẫn nhau.,chuyển hóa lẫn nhau.
563,option_3,không có mỗi liên hệ qua lại.,không có mối liên hệ qua lại.
567,q,"Một sinh viên tâm sự với bạn về hoàn cảnh gia đình mình trong 10 năm đổi mới như sau: gia đình trước đây rất khó khăn. Khi bố từ quân đội về hưu có ít tiền, gia đình đầu tư mua máy và thiết bị sản xuất đậu phụ và làm tương bán. May quá, mặt hàng làm ra có thị trường tiêu thụ ngày càng động. Gia đình còn tân dụng các sản phẩm phụ để nuôi heo. Thế là thu nhập của gia đình tăng dần. đến nay bố tôi đã trở thành một chủ xưởng sản xuất có 20 lao động thuê ngoài. mẹ mình làm trợ lý, mình làm kê toán giúp mẹ. Mặc dù cuộc sống có những lúc khó khăn nhưng gia đình mình đã nỗ lực vượtt qua để có cuộc sống sung túc. Nhà mình bây giờ khang trang, đủ tiện nghi sinh hoạt. Phân tích sự việc trên theo bình diện triết học thì vận dụng theo nguyên lý, quy luật nào là phù hợp?","Một sinh viên tâm sự với bạn về hoàn cảnh gia đình mình trong 10 năm đổi mới như sau: gia đình trước đây rất khó khăn. Khi bố từ quân đội về hưu có ít tiền, gia đình đầu tư mua máy và thiết bị sản xuất đậu phụ và làm tương bán. May quá, mặt hàng làm ra có thị trường tiêu thụ ngày càng rộng. Gia đình còn tận dụng các sản phẩm phụ để nuôi heo. Thế là thu nhập của gia đình tăng dần. Đến nay bố tôi đã trở thành một chủ xưởng sản xuất có 20 lao động thuê ngoài. Mẹ mình làm trợ lý, mình làm kế toán giúp mẹ. Mặc dù cuộc sống có những lúc khó khăn nhưng gia đình mình đã nỗ lực vượt qua để có cuộc sống sung túc. Nhà mình bây giờ khang trang, đủ tiện nghi sinh hoạt. Phân tích sự việc trên theo bình diện triết học thì vận dụng theo nguyên lý, quy luật nào là phù hợp?"
567,option_1,Nguyên lý về mỗi liên hệ phổ biến,Nguyên lý về mối liên hệ phổ biến
573,q,"Câu tục ngũ ""Tốt gỗ hơn tốt nước sơn"" thể hiện cặp phạm trù nào sau đây của Triết học Mác-Lênin?","Câu tục ngữ ""Tốt gỗ hơn tốt nước sơn"" thể hiện cặp phạm trù nào sau đây của Triết học Mác - Lênin?"
574,q,"Chủ nghĩa duy vật lịch sử cho rằng, trên cơ sở yếu tố nào làm phát sinh những mỗi quan hệ xã hội khác: chính tri, pháp luật, đạo đức, nghệ thuật, tôn giáo?","Chủ nghĩa duy vật lịch sử cho rằng, trên cơ sở yếu tố nào làm phát sinh những mối quan hệ xã hội khác: chính trị, pháp luật, đạo đức, nghệ thuật, tôn giáo?"
578,option_1,Khả năng cách mạng vô sản có thế xảy ra ở một hoặc một số nước có điều kiện thích hợp,Khả năng cách mạng vô sản có thể xảy ra ở một hoặc một số nước có điều kiện thích hợp
583,q,V.I.Lênin đã định nghĩa phạm trù vật chất với tư cách là một phạm trù triết học bằng cách đem đối lập với phạm trù nào sau đây?,V.I. Lênin đã định nghĩa phạm trù vật chất với tư cách là một phạm trù triết học bằng cách đem đối lập với phạm trù nào sau đây?
590,q,Sự thay đổi về lượng đạt đến giới hạn nào thì sẽ dẫn đến sự thay đối về chất?,Sự thay đổi về lượng đạt đến giới hạn nào thì sẽ dẫn đến sự thay đổi về chất?
590,option_2,Bước nhày,Bước nhảy
593,q,"Theo V.I.Lênin, vật chất có mấy hình thức tồn tại?","Theo V.I. Lênin, vật chất có mấy hình thức tồn tại?"
594,option_0,Là nền tàng vật chất- kỹ thuật của xã hội,Là nền tảng vật chất - kỹ thuật của xã hội
594,option_2,"Là nhân tố, xét đến củng, quyết định sự hình thành và phát triển của mọi xã hội","Là nhân tố, xét đến cùng, quyết định sự hình thành và phát triển của mọi xã hội"
594,option_3,Thể hiện năng lực chình phục tự nhiên của con người,Thể hiện năng lực chinh phục tự nhiên của con người
596,option_3,Tư bàn chủ nghĩa.,Tư bản chủ nghĩa.
597,option_2,Vì trong xã hội này các cộng đông người tạo lập được các mỗi liên hệ rộng rãi,Vì trong xã hội này các cộng đồng người tạo lập được các mối liên hệ rộng rãi
597,option_3,"Vì trong xã hội này tồn tại chế độ đằng cấp cực đoan, chế độ phân biệt chủng tộc","Vì trong xã hội này tồn tại chế độ đẳng cấp cực đoan, chế độ phân biệt chủng tộc"
598,q,"Theo quan điểm của Các Mác, học thuyết của các ông là một học thuyết có tính chất gì?","Theo quan điểm của C. Mác, học thuyết của các ông là một học thuyết có tính chất gì?"
601,q,"Trưởng phải triết học nào sau day cho rằng vật chất bao gồm các yếu tố: kim, mốc, thủy, hỏa, thổ?","Trường phái triết học nào sau đây cho rằng vật chất bao gồm các yếu tố: kim, mốc, thủy, hỏa, thổ?"
601,option_0,Ngũ hãnh,Ngũ hành
601,option_1,Phap gia,Pháp gia
602,q,Gia tn của triết học duy tam là gi?,Giá trị của triết học duy tâm là gi?
602,option_0,Đề cao lĩnh vực tinh than của con ngưỡi,Đề cao lĩnh vực tinh thần của con người
602,option_2,Đề cao tu duy của con người,Đề cao tư duy của con người
603,q,"Theo quan điểm của chủ nghĩa duy vật biện chứng vé mối quan hệ giữa tất nhiên va ngau nhiên, trong hoạt động thực tiễn, cần dựa vào điều gi?","Theo quan điểm của chủ nghĩa duy vật biện chứng về mối quan hệ giữa tất nhiên và ngẫu nhiên, trong hoạt động thực tiễn, cần dựa vào điều gi?"
603,option_0,"Dua vào ngẫu nhiên, du phòng tất nhiên.","Dựa vào ngẫu nhiên, dự phòng tất nhiên."
603,option_2,Dưa vào cả tất nhiên và ngẫu nhiên,Dựa vào cả tất nhiên và ngẫu nhiên
603,option_3,"Không dựa vào các yếu tố nao mang tinh tất nhiên, ngẫu nhiên","Không dựa vào các yếu tố nào mang tính tất nhiên, ngẫu nhiên"
604,q,"Trong mdi quan hệ với tön tai xã hội, ÿ thức xã hội có tinh chat nào sau day?","Trong mối quan hệ với tồn tại xã hội, ý thức xã hội có tính chất nào sau đây?"
604,option_0,Tinh độc lập tương déi,Tính độc lập tương đối
604,option_1,Tinh độc lập tuyệt đổi,Tính độc lập tuyệt đối
605,option_0,Lịch sử cụ thé,Lịch sử cụ thể
77,q_manual,Một sinh viên tóm tắt nội dung quy luật về sự phù hợp giữa quan hệ sản xuất với trình độ của như sau. Đáp án nào sau đây là đúng?,Một sinh viên tóm tắt nội dung quy luật về sự phù hợp giữa quan hệ sản xuất với trình độ phát triển của lực lượng sản xuất như sau. Đáp án nào sau đây là đúng?
77,options_manual,"[""Quy luật này vạch rõ sự phụ thuộc khách quan của lực lượng sản xuất vào quan hệ sản xuất"", ""Sự hình thành, biến đổi và phát triển của quan hệ sản xuất được quyết định bởi lực lượng"", ""Lực lượng sản xuất và quan hệ sản xuất là hai mặt của phương thức sản xuất, chúng tồn tại"", ""Quy luật này chỉ tồn tại trong một vài xã hội""]","[""Quy luật này vạch rõ sự phụ thuộc khách quan của lực lượng sản xuất vào quan hệ sản xuất"", ""Sự hình thành, biến đổi và phát triển của quan hệ sản xuất được quyết định bởi lực lượng sản xuất"", ""Lực lượng sản xuất và quan hệ sản xuất là hai mặt của phương thức sản xuất, chúng tồn tại trong mối quan hệ biện chứng"", ""Quy luật này chỉ tồn tại trong một vài xã hội""]"
83,q_manual,"A là một sinh viên có học lực kém, nên gia đình và Thầy/Cô đã khuyên A nên cố gắng nhiều thấy được vấn đề, A đã ra sức học tập để tích lũy kiến thức, trải qua một khoảng thời gian bạn thành một học sinh giỏi mà còn đạt được học bổng do Đại học FPT cung cấp. Căn cứ vào kiến thức ở môn Triết học, Anh/Chị hãy cho biết trường hợp bạn A thuộc 1 trong 3 quy luật nào sau đây","A là một sinh viên có học lực kém, nên gia đình và thầy/cô đã khuyên A cố gắng nhiều hơn. Thấy được vấn đề, A ra sức học tập để tích lũy kiến thức; sau một thời gian, bạn trở thành học sinh giỏi và đạt được học bổng do Đại học FPT cung cấp. Căn cứ vào kiến thức môn Triết học, trường hợp của bạn A thuộc quy luật nào sau đây?"
95,options_manual,"[""Tác động qua lại giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo ra những biến đổi nhất định"", ""Quan hệ giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo nhất định"", ""Sự chuyển hóa giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật k biến đổi nhất định""]","[""Tác động qua lại giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo ra những biến đổi nhất định"", ""Quan hệ giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo ra những biến đổi nhất định"", ""Sự chuyển hóa giữa các mặt, các yếu tố bên trong sự vật hay giữa sự vật này với sự vật kia tạo ra những biến đổi nhất định""]"
97,q_manual,"Ai là người khẳng định ""cái sự hiển nhiên là trước hết con người cần phải ăn, uống, ở và mặc, trước khi có thể đấu tranh để giành quyền thống trị, trước khi có thể hoạt động chính trị, khoa học..."".","Ai là người khẳng định: ""Cái sự hiển nhiên là trước hết con người cần phải ăn, uống, ở và mặc, trước khi có thể đấu tranh để giành quyền thống trị, trước khi có thể hoạt động chính trị, khoa học...""?"
109,q_manual,"Điền cụm từ thích hợp vào chỗ (..): ""Không thể đem lại cho hai khái niệm... này một định nghĩa cách chỉ rõ rằng trong hai khái niệm đó, cái nào được coi là có trước"".","Điền cụm từ thích hợp vào chỗ (...): ""Không thể đem lại cho hai khái niệm ... này một định nghĩa nào khác ngoài cách chỉ rõ rằng trong hai khái niệm đó, cái nào được coi là có trước""."
430,options_manual,"[""2 В. 3 С. 4"", ""5""]","[""2"", ""3"", ""4"", ""5""]"
452,options_manual,"[""2 В. 3"", ""4"", ""5""]","[""2"", ""3"", ""4"", ""5""]"
